ds,y,yhat_0.5h,yhat_1h,yhat_3h,yhat_6h,yhat_10h
2021-09-25 20:30:00,0.0,-47.39870834350586,-69.54132080078125,-643.3975219726562,-1348.9412841796875,-837.654541015625
2021-09-25 21:00:00,0.0,-106.58872985839844,-128.72262573242188,-513.0255126953125,-1278.0574951171875,-1078.333251953125
2021-09-25 21:30:00,0.0,-92.96800231933594,-168.38807678222656,-426.96966552734375,-1139.7984619140625,-1068.2330322265625
2021-09-25 22:00:00,0.0,-83.9772720336914,-157.39797973632812,-354.5576171875,-965.6647338867188,-1109.76611328125
2021-09-25 22:30:00,0.0,-97.13125610351562,-157.4418487548828,-369.720703125,-857.9375610351562,-1126.4105224609375
2021-09-25 23:00:00,0.0,-74.87673950195312,-145.2792510986328,-357.0332336425781,-742.7528076171875,-1139.9320068359375
2021-09-25 23:30:00,0.0,-97.58743286132812,-156.6743621826172,-389.3451843261719,-673.417724609375,-1105.1077880859375
2021-09-26 00:00:00,0.0,-109.74701690673828,-183.96505737304688,-395.2047424316406,-624.8591918945312,-1029.9483642578125
2021-09-26 00:30:00,0.0,-101.316650390625,-182.60910034179688,-394.9154052734375,-588.2755126953125,-938.073974609375
2021-09-26 01:00:00,0.0,-147.42835998535156,-231.82322692871094,-442.21630859375,-606.9689331054688,-887.0999755859375
2021-09-26 01:30:00,0.0,-129.72608947753906,-241.18138122558594,-445.5672607421875,-613.7603759765625,-809.25732421875
2021-09-26 02:00:00,0.0,-131.95237731933594,-231.4287872314453,-485.0390319824219,-637.70703125,-774.5984497070312
2021-09-26 02:30:00,0.0,-119.10860443115234,-221.44097900390625,-506.144775390625,-657.1657104492188,-756.8666381835938
2021-09-26 03:00:00,0.0,-60.22771072387695,-144.95326232910156,-431.25238037109375,-582.5224609375,-677.6494750976562
2021-09-26 03:30:00,0.0,-68.72157287597656,-118.53482055664062,-429.7120361328125,-582.2634887695312,-679.5360107421875
2021-09-26 04:00:00,0.0,-106.34302520751953,-156.16542053222656,-436.53863525390625,-627.9544067382812,-726.9148559570312
2021-09-26 04:30:00,0.0,27.892932891845703,-68.302978515625,-299.4773254394531,-492.3971252441406,-591.880859375
2021-09-26 05:00:00,0.0,-9.44028091430664,14.976521492004395,-207.00595092773438,-426.15728759765625,-528.0541381835938
2021-09-26 05:30:00,0.0,122.62651824951172,104.61376953125,-48.49478530883789,-298.667236328125,-392.4196472167969
2021-09-26 06:00:00,0.0,419.72369384765625,503.1037902832031,356.9881896972656,116.67955780029297,21.694988250732422
2021-09-26 06:30:00,386.0,778.5548095703125,1111.0489501953125,1001.5624389648438,784.0467529296875,683.463623046875
2021-09-26 07:00:00,1243.8335,1337.1085205078125,1652.566162109375,1894.7694091796875,1688.522705078125,1587.3426513671875
2021-09-26 07:30:00,581.6665,2281.141357421875,2405.18017578125,2958.6650390625,2747.861572265625,2636.589111328125
2021-09-26 08:00:00,1816.333,2253.149658203125,3480.736083984375,4185.12890625,3997.86083984375,3890.281494140625
2021-09-26 08:30:00,4675.1665,3171.09423828125,3538.671875,5241.5185546875,5168.015625,5055.693359375
2021-09-26 09:00:00,3969.6665,5460.63818359375,4416.4677734375,6395.1181640625,6491.3125,6383.1552734375
2021-09-26 09:30:00,4872.167,5065.02685546875,6008.255859375,6840.26318359375,7169.26171875,7054.81787109375
2021-09-26 10:00:00,2986.3335,5900.2900390625,6079.271484375,7493.9150390625,7989.904296875,7882.2998046875
2021-09-26 10:30:00,3211.5,4672.2255859375,6733.78369140625,7346.43505859375,8406.0537109375,8302.5185546875
2021-09-26 11:00:00,3508.833,4460.54052734375,5509.693359375,7513.24365234375,8862.517578125,8767.00390625
2021-09-26 11:30:00,7995.333,4203.9970703125,4832.17236328125,7969.17236328125,8669.732421875,8590.1025390625
2021-09-26 12:00:00,6174.3330000000005,7184.7734375,4514.68896484375,7903.666015625,8569.90234375,8531.63671875
2021-09-26 12:30:00,5159.833,5987.794921875,6599.2607421875,7149.96435546875,7934.1416015625,7962.4619140625
2021-09-26 13:00:00,12781.5,5107.2841796875,5657.16259765625,5580.5390625,7107.61572265625,7176.56005859375
2021-09-26 13:30:00,8722.5,10234.9072265625,4633.16845703125,4110.341796875,5780.7099609375,5994.92724609375
2021-09-26 14:00:00,1690.6665,7652.00146484375,8651.7470703125,2816.110595703125,4447.30859375,4716.77880859375
2021-09-26 14:30:00,5320.167,2339.94091796875,6569.9833984375,3231.18603515625,3421.7080078125,3535.1494140625
2021-09-26 15:00:00,2591.0,4312.03369140625,2262.82666015625,2140.075927734375,2231.04638671875,2351.638671875
2021-09-26 15:30:00,1831.0,1875.5426025390625,3127.828857421875,974.7015991210938,1185.282958984375,1335.2271728515625
2021-09-26 16:00:00,796.8335,674.588134765625,683.2365112304688,3472.531005859375,169.63262939453125,527.1768188476562
2021-09-26 16:30:00,756.833,199.05380249023438,154.77218627929688,2332.486328125,-454.2523193359375,-26.534292221069336
2021-09-26 17:00:00,507.167,25.755416870117188,-316.5473937988281,-546.831298828125,-927.9561157226562,-562.4283447265625
2021-09-26 17:30:00,0.0,-230.18280029296875,-602.4432373046875,58.24460983276367,-703.8939208984375,-805.1726684570312
2021-09-26 18:00:00,0.0,-235.03997802734375,-412.272216796875,-793.6198120117188,-789.5798950195312,-951.3949584960938
2021-09-26 18:30:00,0.0,-268.9696960449219,-449.4779357910156,-915.2615356445312,-830.5120239257812,-987.362060546875
2021-09-26 19:00:00,0.0,-196.83685302734375,-368.4122314453125,-909.5848999023438,189.83090209960938,-838.3284912109375
2021-09-26 19:30:00,0.0,-54.91108703613281,-175.1834716796875,-657.801513671875,62.07978057861328,-840.9385375976562
2021-09-26 20:00:00,0.0,-63.103206634521484,-99.90935516357422,-568.13916015625,-706.7365112304688,-829.728271484375
2021-09-26 20:30:00,0.0,-3.3925788402557373,-36.38469696044922,-402.9693603515625,-306.24755859375,-729.0278930664062
2021-09-26 21:00:00,0.0,-78.65142059326172,-56.773223876953125,-350.287841796875,-568.2023315429688,-699.664306640625
2021-09-26 21:30:00,0.0,-103.1298828125,-152.3681640625,-327.73809814453125,-644.8408813476562,-718.2464599609375
2021-09-26 22:00:00,0.0,-34.42676544189453,-114.47407531738281,-231.46385192871094,-578.7198486328125,-585.5973510742188
2021-09-26 22:30:00,0.0,-138.6547393798828,-153.69325256347656,-288.5422668457031,-593.1578369140625,-600.2648315429688
2021-09-26 23:00:00,0.0,-40.32388687133789,-130.92575073242188,-234.7221221923828,-494.13116455078125,-476.8511047363281
2021-09-26 23:30:00,0.0,-85.34162139892578,-107.60494232177734,-281.93243408203125,-479.9993896484375,-460.2359313964844
2021-09-27 00:00:00,0.0,-84.42070007324219,-132.94862365722656,-291.75189208984375,-458.2633972167969,-466.4817810058594
2021-09-27 00:30:00,0.0,-76.2324447631836,-123.84850311279297,-270.19464111328125,-419.1778564453125,-464.9775695800781
2021-09-27 01:00:00,0.0,-99.60769653320312,-139.17526245117188,-293.75653076171875,-414.0028381347656,-458.5959167480469
2021-09-27 01:30:00,0.0,-139.49142456054688,-196.23822021484375,-316.70465087890625,-460.9534912109375,-506.969482421875
2021-09-27 02:00:00,0.0,-176.81423950195312,-261.46539306640625,-415.78216552734375,-541.2517700195312,-596.8994140625
2021-09-27 02:30:00,0.0,-135.8099365234375,-245.69117736816406,-414.45556640625,-543.2932739257812,-597.1931762695312
2021-09-27 03:00:00,0.0,-142.33177185058594,-218.79449462890625,-444.3671875,-562.9235229492188,-619.9096069335938
2021-09-27 03:30:00,0.0,-201.86590576171875,-284.84381103515625,-544.056640625,-659.9505004882812,-731.9814453125
2021-09-27 04:00:00,0.0,-159.42906188964844,-310.10009765625,-580.3110961914062,-695.9699096679688,-757.972900390625
2021-09-27 04:30:00,0.0,-124.52421569824219,-223.39630126953125,-548.0491943359375,-664.467041015625,-735.7411499023438
2021-09-27 05:00:00,0.0,-147.07260131835938,-246.69598388671875,-568.440185546875,-709.4576416015625,-780.611572265625
2021-09-27 05:30:00,0.0,-7.4846954345703125,-133.82247924804688,-416.0473327636719,-574.5380249023438,-642.7987060546875
2021-09-27 06:00:00,25.9165,223.8936767578125,217.53457641601562,-142.6737823486328,-322.07611083984375,-382.52978515625
2021-09-27 06:30:00,173.0,451.8677978515625,580.6813354492188,216.8374786376953,28.04865074157715,-28.259416580200195
2021-09-27 07:00:00,148.5,867.2105712890625,1069.2034912109375,884.5928955078125,665.0486450195312,597.5375366210938
2021-09-27 07:30:00,572.3335,1252.024169921875,1743.6512451171875,1827.22265625,1603.82861328125,1541.9852294921875
2021-09-27 08:00:00,730.1665,1465.326904296875,1981.282470703125,2418.58056640625,2135.26904296875,2068.314453125
2021-09-27 08:30:00,1431.833,1886.60888671875,2413.357177734375,3334.98779296875,3014.80517578125,2953.832763671875
2021-09-27 09:00:00,2011.333,2507.88232421875,2735.130126953125,4040.890380859375,3873.24072265625,3799.792236328125
2021-09-27 09:30:00,3547.1665000000003,2760.50927734375,3099.221435546875,4455.95458984375,4402.70068359375,4321.1513671875
2021-09-27 10:00:00,1773.5,3862.51171875,3183.140625,4489.080078125,4595.60986328125,4511.25244140625
2021-09-27 10:30:00,2467.8335,3026.706787109375,4503.478515625,4713.5419921875,5157.8134765625,5059.75830078125
2021-09-27 11:00:00,1769.3335,3439.54638671875,3894.02099609375,4691.595703125,5549.31201171875,5461.833984375
2021-09-27 11:30:00,1487.6665,2713.11572265625,3969.910888671875,5169.25146484375,5918.40185546875,5823.4208984375
2021-09-27 12:00:00,2076.0,2304.875244140625,3135.154541015625,5384.3486328125,6105.10986328125,6021.693359375
2021-09-27 12:30:00,3147.1665,2677.379150390625,2838.34765625,6127.42431640625,6364.1328125,6334.79443359375
2021-09-27 13:00:00,12734.0,3076.135009765625,2874.857177734375,5390.4326171875,6278.546875,6301.63818359375
2021-09-27 13:30:00,11567.6665,9712.0673828125,2713.44873046875,4901.17822265625,5801.91064453125,5898.2509765625
2021-09-27 14:00:00,11163.0,9651.6494140625,8177.21533203125,3109.31103515625,4800.49462890625,4980.93115234375
2021-09-27 14:30:00,8258.667,9686.169921875,8763.77734375,2313.54541015625,4041.932861328125,4184.88232421875
2021-09-27 15:00:00,5880.667,7757.85498046875,8743.4951171875,1397.054931640625,3000.037353515625,3144.067626953125
2021-09-27 15:30:00,5155.5,5345.5,6730.14599609375,317.7125549316406,2079.915771484375,2058.065185546875
2021-09-27 16:00:00,3490.5,4105.408203125,4245.78125,3594.12353515625,950.4241333007812,1106.7694091796875
2021-09-27 16:30:00,1652.0,2560.911865234375,3083.0576171875,4030.9638671875,366.7743835449219,527.0671997070312
2021-09-27 17:00:00,190.0,881.13037109375,1573.126708984375,3346.203369140625,-437.05877685546875,-32.677669525146484
2021-09-27 17:30:00,0.0,-164.38990783691406,336.2677917480469,2230.242919921875,-855.6268920898438,-444.1606750488281
2021-09-27 18:00:00,0.0,-388.95318603515625,-528.857177734375,969.9505615234375,-942.7255249023438,-661.3781127929688
2021-09-27 18:30:00,0.0,-428.6162109375,-755.929931640625,498.7231750488281,-1008.2039184570312,-632.7815551757812
2021-09-27 19:00:00,0.0,-356.4327697753906,-682.6489868164062,-0.8294797539710999,281.5595397949219,-502.84918212890625
2021-09-27 19:30:00,0.0,-161.17979431152344,-418.4980163574219,-429.7084045410156,574.804443359375,-467.0126037597656
2021-09-27 20:00:00,0.0,-105.83517456054688,-211.3759765625,-733.0900268554688,545.9796752929688,-396.7298889160156
2021-09-27 20:30:00,0.0,2.7808711528778076,-64.24710083007812,-627.100341796875,407.0302734375,-333.03509521484375
2021-09-27 21:00:00,0.0,-155.63986206054688,-125.6395034790039,-594.4112548828125,-41.94023513793945,-475.3158874511719
2021-09-27 21:30:00,0.0,-114.84477233886719,-197.95925903320312,-457.4427185058594,-178.63157653808594,-415.0500793457031
2021-09-27 22:00:00,0.0,-167.839111328125,-226.2410125732422,-407.1021728515625,-404.852783203125,-380.3547058105469
2021-09-27 22:30:00,0.0,-167.9014434814453,-266.72052001953125,-436.272705078125,-613.437255859375,-484.4641418457031
2021-09-27 23:00:00,0.0,-108.75000762939453,-213.22125244140625,-406.90704345703125,-695.3208618164062,-424.6060485839844
2021-09-27 23:30:00,0.0,-114.7349624633789,-172.87228393554688,-447.9046936035156,-690.2089233398438,-338.4921569824219
2021-09-28 00:00:00,0.0,-112.66394805908203,-176.82925415039062,-429.7115173339844,-651.0836181640625,-517.0314331054688
2021-09-28 00:30:00,0.0,-86.8375015258789,-145.4439239501953,-403.0042419433594,-579.82177734375,-487.28570556640625
2021-09-28 01:00:00,0.0,-101.29518127441406,-140.82540893554688,-379.16131591796875,-543.0333862304688,-526.5875244140625
2021-09-28 01:30:00,0.0,-123.0101318359375,-167.93080139160156,-359.9328918457031,-545.1096801757812,-566.3984375
2021-09-28 02:00:00,0.0,-140.88916015625,-201.79786682128906,-382.2799987792969,-561.0382690429688,-625.8662719726562
2021-09-28 02:30:00,0.0,-174.21817016601562,-247.8211669921875,-425.68585205078125,-617.3411254882812,-680.9766845703125
2021-09-28 03:00:00,0.0,-208.6295928955078,-309.9191589355469,-502.0431213378906,-679.2080078125,-738.86474609375
2021-09-28 03:30:00,0.0,-237.93853759765625,-362.93841552734375,-593.5424194335938,-755.2638549804688,-818.3617553710938
2021-09-28 04:00:00,0.0,-252.69158935546875,-407.2190246582031,-698.4616088867188,-837.3772583007812,-904.0135498046875
2021-09-28 04:30:00,0.0,-259.39923095703125,-427.287353515625,-793.916259765625,-916.2642211914062,-994.067138671875
2021-09-28 05:00:00,0.0,-180.2775421142578,-375.9796447753906,-801.7169189453125,-915.1296997070312,-993.8729248046875
2021-09-28 05:30:00,0.0,-77.3448715209961,-233.97384643554688,-703.4395751953125,-826.2061767578125,-901.1253051757812
2021-09-28 06:00:00,377.0,37.744850158691406,-53.20523452758789,-551.748291015625,-712.6533813476562,-782.3309936523438
2021-09-28 06:30:00,1030.1665,571.0159301757812,274.25189208984375,-214.34759521484375,-398.2481689453125,-462.92694091796875
2021-09-28 07:00:00,1662.167,1316.0780029296875,968.5724487304688,306.0050354003906,77.20348358154297,8.265143394470215
2021-09-28 07:30:00,3055.8335,2207.205322265625,1939.0203857421875,1079.3084716796875,807.2090454101562,751.3369750976562
2021-09-28 08:00:00,4869.333500000001,3359.580078125,2759.19580078125,1698.181884765625,1346.4681396484375,1289.687255859375
2021-09-28 08:30:00,6174.333500000001,5056.7216796875,3993.186767578125,2473.070556640625,2083.69775390625,2032.6402587890625
2021-09-28 09:00:00,6254.667,6200.068359375,5407.29345703125,3245.135986328125,2756.8466796875,2694.12451171875
2021-09-28 09:30:00,7751.166499999999,6309.47509765625,6295.7021484375,3926.334228515625,3211.247314453125,3133.744873046875
2021-09-28 10:00:00,9224.8335,7407.45849609375,6302.05126953125,4289.00830078125,3492.1640625,3409.988525390625
2021-09-28 10:30:00,8225.333,8505.275390625,7241.13037109375,4741.27099609375,3698.8662109375,3592.26220703125
2021-09-28 11:00:00,8219.333,8142.0078125,8333.650390625,5504.3095703125,4138.33056640625,4036.60009765625
2021-09-28 11:30:00,6607.667,7973.251953125,7974.5791015625,5919.34716796875,4386.61279296875,4257.30126953125
2021-09-28 12:00:00,6191.5,7079.89990234375,8204.0341796875,6346.04736328125,5082.4892578125,4920.92041015625
2021-09-28 12:30:00,9725.5,6441.5166015625,7242.85009765625,7269.8515625,5689.033203125,5479.640625
2021-09-28 13:00:00,9986.333,8713.44140625,6697.48193359375,8482.681640625,6618.0341796875,6402.7900390625
2021-09-28 13:30:00,11371.3335,8956.1923828125,8021.2275390625,8474.119140625,7076.66748046875,6794.32275390625
2021-09-28 14:00:00,8574.0,9699.283203125,7973.43701171875,8121.72998046875,7268.55859375,6865.685546875
2021-09-28 14:30:00,6908.833500000001,7869.3291015625,8594.2470703125,6542.26611328125,6716.62939453125,6274.77001953125
2021-09-28 15:00:00,5493.667,6161.97412109375,6805.46435546875,4761.76904296875,5706.79150390625,5364.49072265625
2021-09-28 15:30:00,2849.0,4535.3681640625,4993.95703125,3753.029296875,4486.26416015625,4058.75830078125
2021-09-28 16:00:00,3782.0,2208.21875,3379.20654296875,3158.67333984375,3312.861572265625,2810.3037109375
2021-09-28 16:30:00,1812.5,2234.160400390625,1109.916748046875,2851.83447265625,2056.283935546875,1706.713134765625
2021-09-28 17:00:00,183.6665,922.199951171875,1234.0924072265625,1603.2601318359375,923.5313720703125,705.899169921875
2021-09-28 17:30:00,0.0,-317.2795715332031,225.43006896972656,596.7661743164062,-50.98297119140625,43.047882080078125
2021-09-28 18:00:00,0.0,-418.77459716796875,-642.99072265625,-218.9695587158203,-828.6157836914062,-504.92205810546875
2021-09-28 18:30:00,0.0,-440.7737731933594,-736.0730590820312,-1035.9359130859375,-947.4636840820312,-689.1705932617188
2021-09-28 19:00:00,0.0,-423.5245666503906,-751.562744140625,-505.909912109375,-807.718994140625,-707.111328125
2021-09-28 19:30:00,0.0,-243.83810424804688,-532.4490356445312,-674.0090942382812,-516.9681396484375,-588.90576171875
2021-09-28 20:00:00,0.0,-157.8358612060547,-312.43341064453125,-1000.304931640625,-569.4068603515625,-567.8866577148438
2021-09-28 20:30:00,0.0,-75.74455261230469,-171.1416015625,-889.5534057617188,-615.9818725585938,-500.8305969238281
2021-09-28 21:00:00,0.0,-131.5894775390625,-169.2657012939453,-797.994873046875,-730.8197021484375,-562.2024536132812
2021-09-28 21:30:00,0.0,-153.6031494140625,-233.7926483154297,-695.7092895507812,-928.4615478515625,-688.3096313476562
2021-09-28 22:00:00,0.0,-192.14292907714844,-286.27593994140625,-613.2127075195312,-777.734375,-794.4633178710938
2021-09-28 22:30:00,0.0,-183.7999725341797,-308.3808898925781,-590.3374633789062,-862.818115234375,-1092.392578125
2021-09-28 23:00:00,0.0,-144.9242401123047,-270.2867431640625,-578.6271362304688,-967.7349243164062,-1062.257568359375
2021-09-28 23:30:00,0.0,-130.0290069580078,-231.55873107910156,-590.7579956054688,-924.259521484375,-1075.693603515625
2021-09-29 00:00:00,0.0,-149.08203125,-238.57566833496094,-598.7697143554688,-893.791259765625,-1034.1103515625
2021-09-29 00:30:00,0.0,-122.44221496582031,-230.3042755126953,-577.7611694335938,-830.7266235351562,-975.1624755859375
2021-09-29 01:00:00,0.0,-131.4263916015625,-219.84854125976562,-554.8624877929688,-783.76953125,-958.6587524414062
2021-09-29 01:30:00,0.0,-132.3370819091797,-223.86566162109375,-536.3394165039062,-765.9619750976562,-911.151611328125
